0,When did Prophet Muhammad die?,570,632,708,597,1
1,1. Dams 2. Wind turbines 3. Nuclear power plants. Which of the following converts kinetic energy into electrical energy?,1,1 and 2,2 and 3,1 and 2 and 3,1
2,Who is the director of The Godfather?,Michael Bay,Francis Ford Coppola,Leonardo DiCaprio,Quentin Tarantino,1
3,Who drew the Starry Night painting?,Vincent van Gogh,Claude Monet,Leonardo da Vinci,Paul Gauguin,0
4,Let's _____ the house for the wedding ceremony?,Refuse,Decorate,Attend,Invite,3
5,Who sings the song Dünyanın Sonuna Doğmuşum?,Mor ve Ötesi,M.F.Ö,Manga,Duman,2
6,If x/4=10/8 what is the value of x?,3,4,5,6,2
7,How many football players play on the field?,11,8,13,7,0
8,What is the fastest animal on land nowadays?,Lion,Cheetah,Elephant,Cougar,1
9,When was the Battle of Manzikert?,1072,1071,1881,1168,1
10,What percent of the world's water is saltwater?,65,2,97,32,2
11,What is the first written source in Turkish?,Orhun Inscriptions,Oghuz Kaghan Legend,Karabalsagun Inscriptions,Talas Inscriptions,0
12,Where is Köprülü Canyon?,Antalya,Bursa,Balıkesir,Muğla,0
13,Who was the first wife of Prophet Muhammad?,Prophet Aisha,Prophet Zeynep,Prophet Khadija,Prophet Ummu,2
14,Which sport is not played by hand?,Handball,Volleyball,Basketball,Football,3
15,Who invented zero?,Al-Khwarizmi,Ali Kuşçu,Al-Biruni,Piri Reis,0
16,When did World War I start?,1st December 1913,2nd January 1915,28th July 1914,3rd September 1916,2
17,What is the force acting on the mass called?,Acceleration,Weight,Volume,Liter,1
18,Who is the first Ebru artist?,Mehmet Efendi,Seyh Sadik,Necmettin Okyay,Hezarfen Edhem Efendi,0
19,Which of them is NOT a neighboring country to Turkey?,Azerbaijan,Greece,Moldova,Belarus,3
20,Which planet is known as the twin of Earth?,Mercury,Jupiter,Venus,Mars,2
21,How many times can a volleyball team hit in a row?,3,2,4,1,0
22,Who is the painter of Kaplumbağa Terbiyecisi?,Osman Hamdi Bey,Harmuzd Rassam,Marko Paşa,Şeker Ahmet Paşa,0
23,How many legs do spiders have?,6,9,8,6,2
24,We .... use plastic shopping bags?,Mustn't,Mustn't,Shouldn't,Didn't,1
25,Whose painting is The Last Supper?,Salvador Dali,Leonardo Da Vinci,Francisco Goya,Pablo Picasso,1
26,In what year did World War II start?,In 1950,In 1939,In 1940,In 1932,1
27,How many keys does a classic piano have?,84,88,90,62,1
28,Which type of animals eat meat?,Carnivores,Herbivores,Omnivores,All types of animals,0
29,What is the biggest 4-digit number with different digits?,9876,9996,9876,9767,0
30,How many square meters is a hectare?,10000,1000,100000,100,0
31,Who won the first international Emmy Award in Turkey?,Hande Erçel,Haluk Bilginer,Demet Akbağ,Yılmaz Erdoğan,1
32,Who is the tallest basketball player nowadays?,Kobe Bryant,Paul Sturgess,LeBron James,Michael Jordan,1
33,Who discovered the atom?,1300 Germany,1400 America,1300 Italy,1300 America,2
34,Which one is not a type of vegetation seen on Earth?,Savannah,Maquis,Caldera,Tundra,2
35,Which is the most famous painting of Van Gogh?,Mona Lisa,Starry Night,The Last Supper,Crying Woman,1
36,Who is the Greek god of love?,Tyche,Aphrodite,Apollo,Uranus,1
37,What is the name of the cowboy in Toy Story?,Jessie,Woody,Slinky,Buzz,1
38,Who discovered the atom?,Democritus,Thomson,John Dalton,Niels Bohr,0
39,What is the short skirt worn by Scottish men called?,Kilt,Plaid,Frill,Sporran,0
40,What was Mete Gazoz's degree of success in the 2018 Archery World Cup?,3,2,1,4,2
41,Which one is a lighting tool that started to be used later than the others?,Oil Lamp,Candle,Torch,Halogen Lamp,3
42,Which date is closer to the present?,12th Century B.C.,3rd Century B.C.,6th Century B.C.,9th Century B.C.,1
43,What is the surname of the character Juliet in Romeo and Juliet?,Paris,Verona,Capulet,Montague,2
44,Which places are shown in brown tones on maps?,Seas,Forests,Plains,Mountains,3
45,Which of the following singers is remembered for his long hair?,Fazıl Say,Zeki Müren,Barış Manço,Sezen Aksu,2
46,When did Mahmud of Ghazni die?,1000,1030,1050,500,1
47,How many megabytes are in one gigabyte?,2048,1048,512,1024,3
48,When did the French Revolution start?,1799,1800,1798,1789,3
49,Where is the smallest country in the world?,Monaco,Singapore,Switzerland,Vatican City,3
50,Which fruit is Snow White's poisonous fruit?,Plum,Apple,Peach,Pear,1
51,Which element's symbol is S?,Sulfur,Carbon,Silicon,Potassium,0
52,When was Prophet Muhammad born?,571,620,632,640,0
53,In which year did TRT World which informs the world public opinion by producing content in 40 languages start its broadcasting life?,In 2015,In 2014,In 2016,In 2012,0
54,What is the belt color that represents the beginner level in karate?,Black,Yellow,White,Red,2
55,What is the name of Turkey's first drilling ship?,Conqueror,Yavuz,Fatih,Barbary,0
56,Which was not a territory of the Ottoman Empire?,Kiev,Thessaloniki,Algeria,Cairo,0
57,Which country has the most amount of mud volcanoes?,Turkey,Azerbaijan,Russia,Kazakhstan,1
58,Which animal is the monument to the conquest of Troy?,Bull,Horse,Wolf,Hawk,1
59,How many letters are there in the Turkish alphabet?,29,32,23,26,0
60,How many inches is a basketball hoop?,16,14,18,20,2
61,How long did World War 1 last for?,5 years,4 years,3 years,8 years,1
62,How many years did the Independence War last?,Six years,One year,Seven years,Three years,3
63,In which city did the last Prophet die?,Mecca,Jeddah,Taif,Medina,3
64,Where is Kahramanmaraş?,In the Black Sea Region,In Southeastern Anatolia,In the Mediterranean Region,In Central Anatolia Region,2
65,How many letters are there in the Turkish alphabet?,29,32,23,26,0
66,What is the name of the parts of the land that extend towards the sea?,Eyebrow,Eye,Hair,Nose,3
67,Which woman director won an Oscar?,Sofia Coppola,Ava DuVernay,Stanley Kramer,Kathryn Bigelow,3
68,How many countries are located in Antarctica?,2,0,4,1,1
69,Who discovered the element radium?,Nikola Tesla,Isaac Newton,Marie Curie,Leonhard Euler,2
70,Who drew the world map?,Ali Kuscu,Al-Khwarizmi,Piri Reis,Ibn Sina,2
71,How many strings does a classical guitar usually have?,8,10,6,12,2
72,Which country has won the most FIFA World Cups?,Brazil,Argentina,Germany,France,0
73,Where is Indonesia located?,Asia,Europe,Africa,North America,0
74,Which is Turkey's largest lake?,Lake Van,Kızılırmak,Mediterranean Sea,Aegean Sea,0
75,What is a sound sequence that is produced according to a certain rule and arouses pleasure to the ear?,Opera,Choir,Melody,Lyrics,1
76,Who is the director of the movies Kabadayı and Anatolian Eagles?,Fatih Akin,Nuri Bilge Ceylan,Reha Erdem,Ömer Vargı,3
77,Who has painted the painting The Last Supper?,Pablo Picasso,Vincent Van Gogh,Leonardo da Vinci,Johannes Vermeer,2
78,To which prophet was the Torah sent?,Jesus,Muhammad,Moses,Salih,2
79,Which mountain is in Turkey?,Mount Everest,Mount Ağrı (Ararat),Uludağ,Erciyes Mountain,1
80,Which team was the Copa Libertadores champion in 2020?,Palmeiras,River Plate,Santos,Cruzeiro,0
81,In which sport did Muhammad Ali become world champion?,Football,Karate,Boxing,Tennis,2
82,Who is the artist who painted The Girl with a Pearl Earring?,Vincent Van Gogh,Salvador Dali,Leonardo Da Vinci,Johannes Vermeer,3
83,Which planet is the fifth from the sun?,Jupiter,Mars,Earth,Saturn,0
84,............ your teeth twice a day?,Brush,Rub,Snap,Put,0
85,What time did Ataturk die?,8:04,9:05,10:50,23:40,1
86,Who is the writer of the book The Boy in the Striped Pyjamas?,John Boyne,Andy Weir,Paulo Coelho,Michael Ende,0
87,Which celebrity painted the artwork named Persistence of Memory?,Frida Kahlo,Pablo Picasso,Salvador Dali,Vincent Van Gogh,2
88,What is the capital of Spain?,Barcelona,Villareal,Madrid,Ronda,2
89,What is the name of the largest ocean in the world?,Atlantic,Pacific,Indian,Arctic,1
90,How many days are in a year?,366 days,363 days,365 days,362 days,2
